date,Ibex 35,ibex 35 down,credito,recesión,Ibex 35%,ibex 35 down%,credito%,recesión%
2015-01-04,8,0,52,17,-42.85,0.0,-16.13,-19.05
2015-01-05,65,0,92,11,712.41,0.0,76.92,-35.29
2015-01-06,55,0,89,36,-15.38,0.0,-3.26,227.25
2015-01-07,75,0,89,4,36.36,0.0,0.0,-88.89
2015-01-08,81,0,92,11,8.0,0.0,3.37,174.96
2015-01-09,95,0,91,18,17.28,0.0,-1.09,63.63
2015-01-10,17,0,63,4,-82.1,0.0,-30.77,-77.77
2015-01-11,17,0,52,16,0.0,0.0,-17.46,299.93
2015-01-12,83,0,94,14,388.21,0.0,80.77,-12.5
2015-01-13,85,0,94,14,2.41,0.0,0.0,0.0
2015-01-14,81,0,99,11,-4.71,0.0,5.32,-21.43
2015-01-15,79,0,94,7,-2.47,0.0,-5.05,-36.36
2015-01-16,75,0,92,14,-5.06,0.0,-2.13,99.99
2015-01-17,14,0,61,8,-81.33,0.0,-33.7,-42.85
2015-01-18,9,0,54,4,-35.71,0.0,-11.48,-49.99
2015-01-19,72,0,90,21,699.92,0.0,66.67,424.89
2015-01-20,74,0,96,17,2.78,0.0,6.67,-19.05
2015-01-21,78,0,91,31,5.41,0.0,-5.21,82.35
2015-01-22,100,0,93,10,28.2,0.0,2.2,-67.74
2015-01-23,91,0,92,14,-9.0,0.0,-1.08,40.0
2015-01-24,14,0,62,16,-84.61,0.0,-32.61,14.28
2015-01-25,17,0,50,16,21.43,0.0,-19.35,0.0
2015-01-26,97,0,92,14,470.56,0.0,84.0,-12.5
2015-01-27,77,0,92,10,-20.62,0.0,0.0,-28.57
2015-01-28,86,0,90,14,11.69,0.0,-2.17,40.0
2015-01-29,84,0,89,0,-2.33,0.0,-1.11,-99.99
2015-01-30,78,0,90,0,-7.14,0.0,1.12,0.0
2015-01-31,13,0,64,4,-83.33,0.0,-28.89,400000.0
2015-02-01,8,0,51,8,-38.46,0.0,-20.31,99.98
2015-02-02,74,0,86,7,824.9,0.0,68.63,-12.5
2015-02-03,87,0,91,24,17.57,0.0,5.81,242.82
2015-02-04,80,0,88,10,-8.05,0.0,-3.3,-58.33
2015-02-05,69,0,91,17,-13.75,0.0,3.41,69.99
2015-02-06,67,0,89,11,-2.9,0.0,-2.2,-35.29
2015-02-07,11,0,59,8,-83.58,0.0,-33.71,-27.27
2015-02-08,6,0,54,8,-45.45,0.0,-8.47,0.0
2015-02-09,76,0,88,14,1166.47,0.0,62.96,74.99
2015-02-10,66,0,91,10,-13.16,0.0,3.41,-28.57
2015-02-11,77,0,92,17,16.67,0.0,1.1,69.99
2015-02-12,75,0,96,17,-2.6,0.0,4.35,0.0
2015-02-13,88,0,87,11,17.33,0.0,-9.37,-35.29
2015-02-14,11,0,60,16,-87.5,0.0,-31.03,45.45
2015-02-15,13,0,48,12,18.18,0.0,-20.0,-25.0
2015-02-16,82,0,81,4,530.73,0.0,68.75,-66.66
2015-02-17,71,0,79,14,-13.41,0.0,-2.47,249.94
2015-02-18,80,0,93,28,12.68,0.0,17.72,99.99
2015-02-19,84,0,97,21,5.0,0.0,4.3,-25.0
2015-02-20,82,0,91,7,-2.38,0.0,-6.19,-66.66
2015-02-21,13,0,63,8,-84.15,0.0,-30.77,14.28
2015-02-22,13,0,54,0,0.0,0.0,-14.29,-99.99
2015-02-23,93,0,92,14,615.34,0.0,70.37,1400000.0
2015-02-24,60,0,66,65,-35.48,0.0,-28.26,364.26
2015-02-24,60,0,66,27,0.0,0.0,0.0,-58.46
2015-02-24,60,0,91,65,0.0,0.0,37.88,140.74
2015-02-24,60,0,91,27,0.0,0.0,0.0,-58.46
2015-02-24,60,0,66,65,0.0,0.0,-27.47,140.74
2015-02-24,60,0,66,27,0.0,0.0,0.0,-58.46
2015-02-24,60,0,91,65,0.0,0.0,37.88,140.74
2015-02-24,60,0,91,27,0.0,0.0,0.0,-58.46
2015-02-24,74,0,66,65,23.33,0.0,-27.47,140.74
2015-02-24,74,0,66,27,0.0,0.0,0.0,-58.46
2015-02-24,74,0,91,65,0.0,0.0,37.88,140.74
2015-02-24,74,0,91,27,0.0,0.0,0.0,-58.46
2015-02-24,74,0,66,65,0.0,0.0,-27.47,140.74
2015-02-24,74,0,66,27,0.0,0.0,0.0,-58.46
2015-02-24,74,0,91,65,0.0,0.0,37.88,140.74
2015-02-24,74,0,91,27,0.0,0.0,0.0,-58.46
2015-02-25,69,0,68,33,-6.76,0.0,-25.27,22.22
2015-02-26,66,0,66,42,-4.35,0.0,-2.94,27.27
2015-02-27,73,0,63,34,10.61,0.0,-4.55,-19.05
2015-02-28,12,0,48,0,-83.56,0.0,-23.81,-100.0
2015-03-01,9,0,40,9,-25.0,0.0,-16.67,900000.0
2015-03-02,60,0,68,16,566.6,0.0,70.0,77.77
2015-03-03,57,0,67,17,-5.0,0.0,-1.47,6.25
2015-03-04,60,0,68,41,5.26,0.0,1.49,141.17
2015-03-05,63,0,68,17,5.0,0.0,0.0,-58.54
2015-03-06,55,0,63,35,-12.7,0.0,-7.35,105.88
2015-03-07,9,0,47,10,-83.63,0.0,-25.4,-71.43
2015-03-08,8,0,39,30,-11.11,0.0,-17.02,199.98
2015-03-09,55,0,66,25,587.43,0.0,69.23,-16.67
2015-03-10,55,0,68,25,0.0,0.0,3.03,0.0
2015-03-11,62,0,65,50,12.73,0.0,-4.41,100.0
2015-03-12,58,0,66,58,-6.45,0.0,1.54,16.0
2015-03-13,52,0,66,68,-10.34,0.0,0.0,17.24
2015-03-14,10,0,47,29,-80.77,0.0,-28.79,-57.35
2015-03-15,6,0,41,0,-40.0,0.0,-12.77,-100.0
2015-03-16,57,0,63,8,849.86,0.0,53.66,800000.0
2015-03-17,59,0,69,42,3.51,0.0,9.52,424.95
2015-03-18,57,0,67,25,-3.39,0.0,-2.9,-40.48
2015-03-19,40,0,65,58,-29.82,0.0,-2.99,131.99
2015-03-20,65,0,63,68,62.5,0.0,-3.08,17.24
2015-03-21,14,0,45,10,-78.46,0.0,-28.57,-85.29
2015-03-22,11,0,38,38,-21.43,0.0,-15.56,279.97
2015-03-23,62,0,64,41,463.59,0.0,68.42,7.89
2015-03-24,64,0,66,33,3.23,0.0,3.12,-19.51
2015-03-25,68,0,62,36,6.25,0.0,-6.06,9.09
2015-03-26,62,0,67,29,-8.82,0.0,8.06,-19.44
2015-03-27,56,0,63,26,-9.68,0.0,-5.97,-10.34
2015-03-28,7,0,41,21,-87.5,0.0,-34.92,-19.23
2015-03-29,9,0,37,0,28.57,0.0,-9.76,-100.0
2015-03-30,57,0,65,17,533.27,0.0,75.67,1700000.0
2015-03-31,53,0,64,42,-7.02,0.0,-1.54,147.05
2015-04-01,56,0,62,0,5.66,0.0,-3.12,-100.0
2015-04-02,39,0,51,9,-30.36,0.0,-17.74,900000.0
2015-04-03,17,0,37,9,-56.41,0.0,-27.45,0.0
2015-04-04,12,0,38,31,-29.41,0.0,2.7,244.42
2015-04-05,7,0,36,10,-41.66,0.0,-5.26,-67.74
2015-04-06,44,0,73,35,528.5,0.0,102.77,249.98
2015-04-07,68,0,71,33,54.54,0.0,-2.74,-5.71
2015-04-08,61,0,73,25,-10.29,0.0,2.82,-24.24
2015-04-09,55,0,69,69,-9.84,0.0,-5.48,175.99
2015-04-10,55,0,65,35,0.0,0.0,-5.8,-49.27
2015-04-11,11,0,47,20,-80.0,0.0,-27.69,-42.86
2015-04-12,6,0,43,20,-45.45,0.0,-8.51,0.0
2015-04-13,60,0,71,17,899.85,0.0,65.11,-15.0
2015-04-14,57,0,71,33,-5.0,0.0,0.0,94.11
2015-04-15,57,0,71,33,0.0,0.0,0.0,0.0
2015-04-16,59,0,73,34,3.51,0.0,2.82,3.03
2015-04-17,60,0,68,43,1.69,0.0,-6.85,26.47
2015-04-18,12,0,48,60,-80.0,0.0,-29.41,39.53
